el article	el	article	masculine singular definite article; the		
medio adv	medio	adv	half, incompletely (indicating an action interrupted or only partially done)		
medio noun	medio	noun	half (any fraction with a denominator of 2)		
pasado adj	pasado	adj	past		
pasado noun	pasado	noun	past, bygones		
ojo noun	ojo	noun	eye		
ojo intj	ojo	intj	look! watch out!		
amar verb	amar	verb	to love, have great affection for, care about		
pronto adj	pronto	adj	prompt, on time		
pronto adv	pronto	adv	soon, promptly, any time soon		
beber verb	beber	verb	to drink		
donde adv	donde	adv	where, in what place		
donde conj	donde	conj	because		
donde prep	donde	prep	by, near to		
donde pron	donde	pron	where, in what place		
entrar verb	entrar	verb	to enter; to come in; to get in; to go in; to get inside; to come on in		
comida noun	comida	noun	food		
carta noun	carta	noun	letter (document)		
lengua noun	lengua	noun	tongue (organ)		
dinámica adj	dinámica	adj	dynamic	Es una ciudad joven y dinámica.	It's a young and dynamic city.
joven adj	joven	adj	young, youthful	Es una ciudad joven y dinámica.	It's a young and dynamic city.
biblioteca noun	biblioteca	noun	library	Voy a la biblioteca después de clases.	I'm going to the library after classes.
joven noun	joven	noun	youth, young person, youngster	La joven trabaja en una biblioteca.	The young woman works in a library.
financiamiento noun	financiamiento	noun	financing	BP aportará el 65 por ciento de la financiación para el proyecto.	BP will provide 65 percent of the financing for the project.
proyecto noun	proyecto	noun	project, plan	Buscamos financiamiento para el proyecto.	We are looking for funding for the project.
mes noun	mes	noun	month	Este mes empezamos un proyecto.	This month we're starting a project.
alto adj	alto	adj	tall	El edificio nuevo es muy alto.	The new building is very tall.
trozo noun	trozo	noun	piece	Quiero un trozo más grande.	I want a bigger piece.
muro noun	muro	noun	wall	Se cayó un trozo del muro.	A piece of the wall fell off.
curso noun	curso	noun	course, trajectory, route, direction	El proyecto sigue en curso sin problemas.	The project is still on track without any problems.
mejorar verb	mejorar	verb	to make better, improve	He mejorado mucho desde el curso pasado.	I've improved a lot since last semester.
relación noun	relación	noun	relation	Nuestra relación mejoró después de hablar.	Our relationship improved after talking.
tenso adj	tenso	adj	tense, strained, taut, tensed	La relación entre ellos está tensa.	The relationship between them is tense.
cuerda noun	cuerda	noun	rope, cord, string	La cuerda está muy tensa ahora.	The rope is very taut now.
alcanzar verb	alcanzar	verb	to reach; to attain or achieve; to catch up with	No alcanzaba la cuerda con la mano.	I couldn't reach the rope with my hand.
ponente adj	ponente	adj	speaker, presenter, lecturer	Los ponentes del congreso son especialistas de prestigio.	The speakers at the congress are prestigious specialists.
yo pron	yo	pron	I	Yo te amo	I love you
sincero adj	sincero	adj	sincere	Él siempre fue muy sincero conmigo.	He was always very honest with me.
sonrisa noun	sonrisa	noun	smile	Ella tiene una sonrisa muy sincera.	She has a very sincere smile.
amable adj	amable	adj	kind, amiable, gracious	Ella tiene una sonrisa amable.	She has a kind smile.
profesor noun	profesor	noun	professor (a faculty member)	El profesor es muy amable con todos.	The professor is very kind to everyone.
conferencia noun	conferencia	noun	conference	El profesor dará una conferencia mañana.	The professor will give a lecture tomorrow.
invitado adj	invitado	adj	invited	Ella fue la ponente invitada de la conferencia.	She was the guest speaker at the conference.
historia noun	historia	noun	history (the aggregate of past events)	En la escuela aprendemos historia cada semana.	At school we learn history every week.
toma noun	toma	noun	conquest, capture, taking, takeover	La toma del poder cambió la historia.	The seizure of power changed history.
medicina noun	medicina	noun	medicine	Toma la medicina después de comer.	Take the medicine after eating.
farmacia noun	farmacia	noun	drugstore, pharmacy	Voy a la farmacia para comprar medicinas.	I'm going to the pharmacy to buy medications.
receta noun	receta	noun	prescription (a doctor's written order authorizing medicine or a treatment)	No puedo comprarlo sin receta en la farmacia.	I can't buy it without a prescription at the pharmacy.
limón noun	limón	noun	lemon (fruit)	Compré un limón para la receta.	I bought a lemon for the recipe.
invitado noun	invitado	noun	guest, houseguest; invitee	Un invitado pidió agua con limón.	A guest asked for water with lemon.
silla noun	silla	noun	chair	Necesitamos otra silla para el invitado.	We need another chair for the guest.
metro noun	metro	noun	meter	Hay un metro entre las sillas.	There is one meter between the chairs.
alto noun	alto	noun	height (in measurements)	El alto del muro es de tres metros.	The height of the wall is three meters.
alto adv	alto	adv	up, high, highly	Por favor, habla más alto, no te escucho.	Please, speak louder, I can't hear you.
tranquilamente adv	tranquilamente	adv	calmy, serenely, peacefully	después de robar el banco salió andando tranquilamente	After robbing the bank, he calmy left
naranja adj	naranja	adj	orange (having orange color)	Ese gato naranja duerme tranquilamente.	That orange cat sleeps peacefully.
marte noun	marte	noun	mars	Marte tiene dos lunas pequeñas.	Mars has two small moons.
luna noun	luna	noun	moon	Marte tiene dos lunas pequeñas.	Mars has two small moons.
brillante adj	brillante	adj	bright, brilliant, lustrous, shiny, glowing, sparkly, glittering, glossy	La luna se veía brillante esta noche.	The moon looked bright tonight.
planificación noun	planificación	noun	planning	Un equipo de expertos se encargó de la planificación del proyecto	A team of experts was in charge of planning the project
movilidad noun	movilidad	noun	mobility	xxx	xxx
rutina noun	rutina	noun	routine	xxx	xxx
tranquilo adj	tranquilo	adj	calm, peaceful, tranquil, quiet	Necesitamos una tarde tranquila en casa.	We need a quiet afternoon at home.
solucionar verb	solucionar	verb	to solve; to implement a solution	Necesitamos solucionar este problema hoy.	We need to solve this problem today.
tranquilo intj	tranquilo	intj	relax! calm down!	¡Tranquilo, ya solucionamos el problema!	Calm down, we've already solved the problem!
estudio noun	estudio	noun	study	Necesito un lugar de estudio tranquilo.	I need a quiet place to study.
diario adj	diario	adj	daily	Sigo una rutina diaria de estudio.	I follow a daily study routine.
diario noun	diario	noun	diary, journal	Escribimos en nuestros diarios cada mañana.	We write in our journals every morning.
urbano adj	urbano	adj	urban	La planificación urbana mejora la movilidad diaria.	Urban planning improves daily mobility.
estación noun	estación	noun	station	El metro sale de esta estación.	The subway leaves from this station.
paisaje noun	paisaje	noun	landscape (the view of an area of land)	El paisaje urbano cambia cada estación.	The urban landscape changes every season.
hermoso adj	hermoso	adj	gorgeous, beautiful, handsome, lovely	Qué paisaje tan hermoso vimos hoy.	What a beautiful landscape we saw today.
blanco adj	blanco	adj	white	La casa blanca se ve hermosa.	The white house looks beautiful.
bus noun	bus	noun	bus	Cambiamos de bus en la estación.	We switch buses at the station.
nocturno adj	nocturno	adj	night	Los buses nocturnos pasan cada media hora.	The night buses run every half hour.
nocturno noun	nocturno	noun	nocturne (composition)	Escuchamos un nocturno de Chopin en clase.	We listened to a nocturne by Chopin in class.
baño noun	baño	noun	bath	Tomar un baño nocturno me ayuda a dormir mejor.	Taking a nighttime bath helps me sleep better.
pared noun	pared	noun	wall, especially of a house or room	Las paredes del baño son blancas.	The bathroom walls are white.
blanco noun	blanco	noun	white	Me gusta el blanco para las paredes.	I like white for the walls.
perla noun	perla	noun	pearl	Ella compró una perla blanca brillante.	She bought a shiny white pearl.
collar noun	collar	noun	necklace	Lleva un collar de perlas hoy.	She is wearing a pearl necklace today.
brillante noun	brillante	noun	diamond	Ese collar lleva pequeños brillantes.	That necklace has small diamonds.
camisa noun	camisa	noun	shirt	Esa camisa es demasiado grande.	That shirt is too big.
rojo adj	rojo	adj	red (colour)	La camisa roja me queda bien.	The red shirt fits me well.
rojo noun	rojo	noun	red (colour)	Me gusta el rojo en las paredes.	I like red on the walls.
color noun	color	noun	color / colour, hue	Me gusta el color rojo brillante.	I like the color bright red.
otoño noun	otoño	noun	autumn, fall	Los colores del otoño son hermosos.	The colors of autumn are beautiful.
atardecer noun	atardecer	noun	late afternoon, sunset, dusk, evenfall, nightfall	Los atardeceres de otoño son hermosos.	Autumn sunsets are beautiful.
naranja noun	naranja	noun	orange (color)	Me gusta el naranja brillante en los atardeceres.	I like the bright orange in the sunsets.
su adj	su	adj	his, her, their, its, their, your	Me gusta su camisa.	I like your shirt.
importante adj	importante	adj	important, that cares, that matters.	Es muy importante llegar a tiempo a clase.	It is very important to get to class on time.
logro noun	logro	noun	attainment, achievement, accomplishment, success	Aprender a leer fue su primer logro importante.	Learning to read was their first important achievement.
fruta noun	fruta	noun	(the seed-bearing part of a plant)	xxx	xxx
puesto noun	puesto	noun	market stall, market stand	Compré naranjas en el puesto de frutas.	I bought oranges at the fruit stand.
requisito noun	requisito	noun	requirement, requisite	Debes cumplir con los requisitos.	You must meet the requirements.
cumplir verb	cumplir	verb	to fulfil, to fulfill, to meet, to deliver (e.g., requirements, prerequisites, promise, vow)	Debes cumplir con los requisitos.	You must meet the requirements.
trabajador adj	trabajador	adj	hard-working	Ella es trabajadora y siempre cumple.	She is hardworking and always follows through.
distracción noun	distracción	noun	distraction, diversion, amusement	xxx	xxx
turno noun	turno	noun	turn (chance to make a move in a game)	Perdió su turno por estar distraido	He missed his turn because he was distracted.
trabajador noun	trabajador	noun	worker	Hablaron con los trabajadores del turno nocturno.	They spoke with the night shift workers.
pie noun	pie	noun	foot, base	Llegamos a pie hasta la escuela.	We walked to the school.
acuerdo noun	acuerdo	noun	agreement	Llegaron a un acuerdo después de hablar.	They reached an agreement after talking.
beneficiar verb	beneficiar	verb	to benefit	xxx	xxx
final adj	final	adj	final (conclusive, decisive)	El acuerdo final benefició a todas las partes.	The final agreement benefited all the parties.
final noun	final	noun	end (the terminal point of something in space or time)	Quiero quedarme hasta el final.	I want to stay until the end.
instrucción noun	instrucción	noun	instruction	No entendí la instrucción final del profesor.	I didn't understand the teacher's final instruction.
puesto adj	puesto	adj	standing	Los trabajadores estaban puestos de pie esperando instrucciones.	The workers were standing, waiting for instructions.
llover verb	llover	verb	to rain	Ayer llovió durante toda la tarde.	Yesterday it rained all afternoon.
puesto conj	puesto	conj	because, as, since	No saldré hoy, puesto que está lloviendo mucho.	I won't go out today, since it's raining a lot.
frontera noun	frontera	noun	border, frontier	Trabaja en un puesto de frontera.	They work at a border post.
cruzar verb	cruzar	verb	to cross (including of legs)	Ellos ya han cruzado la frontera.	They have already crossed the border.
peligro noun	peligro	noun	peril, danger	Cruzar aquí de noche es un peligro.	Crossing here at night is dangerous.
placebo noun	placebo	noun	placebo	xxx	xxx
alergia noun	alergia	noun	allergy	xxx	xxx
tratamiento noun	tratamiento	noun	treatment	Estoy siguiendo un tratamiento para la alergia.	I'm undergoing treatment for allergies.
síntoma noun	síntoma	noun	symptom (indicators and characteristics of the presence of something else)	Los síntomas mejoraron después del tratamiento.	The symptoms improved after the treatment.
efecto noun	efecto	noun	effect	El efecto placebo mejoró sus síntomas.	The placebo effect improved their symptoms.
claramente adv	claramente	adv	clearly	El profesor habló claramente durante la clase.	The professor spoke clearly during the class.
visible adj	visible	adj	visible	La luna es claramente visible esta noche.	The moon is clearly visible tonight.
inmediato adj	inmediato	adj	immediate	El efecto fue inmediato y visible.	The effect was immediate and visible.
alto intj	alto	intj	halt!; stop!	Cuando veas peligro, ¡Alto de inmediato!	When you see danger, stop immediately!
sala noun	sala	noun	room (a separate part of a building)	Los niños juegan en la sala.	The children play in the living room.
sofá noun	sofá	noun	sofa, couch	Compramos un sofá nuevo para la sala.	We bought a new sofa for the living room.
barrio noun	barrio	noun	neighbourhood	Vivo en un barrio tranquilo y seguro.	I live in a quiet and safe neighborhood.
cómodo adj	cómodo	adj	comfortable	Nos sentimos cómodos en este barrio.	We feel comfortable in this neighborhood.
moderno adj	moderno	adj	modern	Compraron un sofá moderno y cómodo.	They bought a modern and comfortable sofa.
edificio noun	edificio	noun	building	El edificio es muy alto y moderno.	The building is very tall and modern.
mi det	mi	det	apocopic form of mío, my	xxx	xxx
propio adj	propio	adj	own (belonging to)	Necesito mi propia habitación para estudiar.	I need my own room to study.
hermana noun	hermana	noun	sister; female equivalent of hermano (“brother”)	Cada hermana tiene su propia habitación.	Each sister has her own room.
constancia noun	constancia	noun	certainty, constancy, proof, evidence, report (notification to relevant authorities)	xxx	xxx
quien pron	quien	pron	who	Quien estudia con constancia aprende más.	Whoever studies consistently learns more.
cuenta noun	cuenta	noun	count, tally	Perdimos la cuenta de cuántas veces vino.	We lost count of how many times they came.
mosaico noun	mosaico	noun	mosaic	xxx	xxx
formado verb	formado	verb	past participle of formar	xxx	xxx
cuadro noun	cuadro	noun	square (regular quadrilateral)	Los mosaicos están formados por pequeños cuadros iguales.	The mosaics are made up of small identical squares.
derecho adj	derecho	adj	straight; upright (perfectly horizontal or vertical; not diagonal or oblique)	El cuadro no está derecho en la pared.	The picture is not straight on the wall.
abogado noun	abogado	noun	lawyer, solicitor, counsel.	Mi hermano es abogado en Madrid.	My brother is a lawyer in Madrid.
derecho noun	derecho	noun	right (a legal, just or moral entitlement)	Tienes derecho a un abogado.	You have the right to a lawyer.
tardar verb	tardar	verb	to delay	¿Cuánto tardas en llegar al trabajo?	How long does it take you to get to work?
semáforo noun	semáforo	noun	traffic light	Ese semáforo tarda demasiado en cambiar.	That traffic light takes too long to change.
derecho adv	derecho	adv	straight (directly; without pause, delay or detour)	Sigue derecho hasta el semáforo grande.	Go straight until the big traffic light.
menor adj	menor	adj	comparative degree of pequeño: smaller	El perro es menor que el gato.	The dog is younger than the cat.
autorización noun	autorización	noun	authorization	xxx	xxx
menor noun	menor	noun	minor; child	El menor necesitaba autorización de sus padres.	The minor needed authorization from their parents.
proteger verb	proteger	verb	to protect, to defend	Ella protege a sus hermanos menores.	She protects her younger siblings.
humano adj	humano	adj	human	Los derechos humanos protegen a todos.	Human rights protect everyone.
digital adj	digital	adj	digital; dealing with discrete values rather than a continuous spectrum of values digital; dealing with the display of numerical values digital; having to do with the fingers or toes 	xxx	xxx
comunicación noun	comunicación	noun	communication	La comunicación digital ha cambiado nuestras relaciones.	Digital communication has changed our relationships.
humano noun	humano	noun	human, human being	Un humano necesita comunicación para vivir.	A human needs communication to live.
igual adj	igual	adj	equal, same	Los derechos humanos son iguales para todos.	Human rights are the same for everyone.
igual noun	igual	noun	equal (a person or thing of equal status)	Ella no encuentra su igual.	She cannot find her equal.
igual adv	igual	adv	in the same way; just like	Trabaja igual que su hermano.	They work just like their brother.
mueble noun	mueble	noun	a piece of furniture	Compramos un mueble nuevo para la sala.	We bought a new piece of furniture for the living room.
antiguo adj	antiguo	adj	old, former, erstwhile, quondam, one-time, onetime	Compramos muebles antiguos para la sala.	We bought antique furniture for the living room.
tocar verb	tocar	verb	to touch	Intenté tocar el cuadro antiguo.	I tried to touch the old painting.
ahí adv	ahí	adv	there: used to designate a place near the listener	¿Puedes esperar ahí un momento?	Can you wait there a moment?
malo adj	malo	adj	bad	La comida estaba muy mala.	The food was very bad.
prefiero verb	prefiero	verb	first-person singular present indicative of preferir	xxx	xxx
sábana noun	sábana	noun	sheet; bedsheet	Ellos cambian las sábanas cada semana.	They change the sheets every week.
suave adj	suave	adj	smooth, soft, fluffy	Prefiero sábanas suaves para dormir mejor.	I prefer soft sheets to sleep better.
lluvia noun	lluvia	noun	rain	La lluvia cae suavemente esta tarde.	The rain is falling gently this afternoon.
parabrisas noun	parabrisas	noun	windscreen, windshield	xxx	xxx
película noun	película	noun	film (layer)	La lluvia dejó una película de agua en el parabrisas.	The rain left a film of water on the windshield.
malo noun	malo	noun	bad guy; baddie; bad boy; bad person	En la película, el malo pierde siempre.	In the movie, the bad guy always loses.
tarea noun	tarea	noun	task	¿Puedes ayudarme con la tarea esta tarde?	Can you help me with my homework this afternoon?
pregunta noun	pregunta	noun	question (sentence that asks for information)	Tengo una pregunta sobre la tarea.	I have a question about the homework.
único adj	único	adj	only; single; sole	El único problema es el tiempo.	The only problem is time.
cinturón noun	cinturón	noun	belt	Ese cinturón es demasiado grande para mí.	That belt is too big for me.
café adj	café	adj	brown	Llevo un cinturón café hoy.	I'm wearing a brown belt today.
café noun	café	noun	coffee	Pedimos dos cafés para llevar, por favor.	We ordered two coffees to go, please.
abrir verb	abrir	verb	to open, open up	He abierto la cuenta que necesitábamos.	I have opened the account we needed.
retraso noun	retraso	noun	delay	El tren llegó con retraso hoy.	The train arrived late today.
abrir noun	abrir	noun	the act of opening	Hubo retrasos en el abrir de las puertas.	There were delays in the opening of the doors.
junto adj	junto	adj	together	Hoy estamos juntos en casa.	Today we are together at home.
junto adv	junto	adv	together	Trabajamos juntos en el proyecto.	We work together on the project.
